architecture,feature_dim,learning_rate,epoch,train_loss,val_loss,avg_latency,fitness
convnext_tiny,768,0.001,9,18.643379368501552,17.748824683102693,0.0057342811064286,0.1802680293071646
convnext_tiny,768,0.001,8,19.999192967134363,19.0917894190008,0.007672212340615,0.1802680293071646
convnext_tiny,768,0.001,7,20.96895903419046,20.26993005925959,0.0091981562701138,0.1802680293071646
convnext_tiny,768,0.001,6,21.565509145400103,19.9302800135179,0.00646296414462,0.1802680293071646
convnext_tiny,768,0.001,5,22.73388791925767,23.39251331849532,0.0080259604887528,0.1802680293071646
convnext_tiny,768,0.001,4,23.586885564467487,24.553443821993746,0.007574590769681,0.1802680293071646
convnext_tiny,768,0.001,3,23.56485862731933,26.698772798885,0.0079809318889271,0.1802680293071646
convnext_tiny,768,0.001,2,23.74516581367044,26.227609374306414,0.0090307430787519,0.1802680293071646
convnext_tiny,768,0.001,1,30.688361998165355,24.949181816794656,0.0103541395880959,0.1802680293071646
shufflenet_v2_x1_0,1024,0.0001,3,32.18159453448127,24.17525161396373,0.0069872574372725,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,2,62.364253818287565,41.893363605846055,0.0085909800095991,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,4,21.549587159998275,21.91773744062944,0.0108748024160211,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,5,20.32165385975557,21.61411428451538,0.0109303972937844,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,9,18.6104741601383,20.345200278542254,0.0100292617624456,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,7,19.462696726181928,20.583778619766235,0.0090439102866432,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,8,18.99241528230555,20.587022521279074,0.0096123001792214,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,10,18.29008967455696,20.52768304131248,0.0088995911858298,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,6,19.702233280855065,21.140308553522285,0.0081656846133145,0.1826879870599735
shufflenet_v2_x1_0,1024,0.0001,1,85.28881198658662,75.27445324984464,0.0096185532483187,0.1826879870599735
regnet_x_400mf,400,0.01,10,13.520420624228084,13.954288092526523,0.0133941823785955,0.1869062796747641
regnet_x_400mf,400,0.01,2,22.66218100155101,22.011055946350098,0.0093581676483154,0.1869062796747641
regnet_x_400mf,400,0.01,3,19.234963978038117,20.09077193520286,0.0108791264620694,0.1869062796747641
regnet_x_400mf,400,0.01,4,18.2624558617087,16.851696707985617,0.0116661787033081,0.1869062796747641
regnet_x_400mf,400,0.01,5,16.120606904871323,16.562957416881215,0.0123617215590043,0.1869062796747641
regnet_x_400mf,400,0.01,6,15.882347443524528,15.428435889157385,0.0122069770639592,0.1869062796747641
regnet_x_400mf,400,0.01,7,15.536568641662598,14.530337290330367,0.0140336643565784,0.1869062796747641
regnet_x_400mf,400,0.01,8,14.252299499511718,13.67303297736428,0.0118368105454878,0.1869062796747641
regnet_x_400mf,400,0.01,9,14.150014652925378,15.308613950555976,0.0134086175398393,0.1869062796747641
regnet_x_400mf,400,0.01,1,26.565735199872183,86.96149544282393,0.0130598111586137,0.1869062796747641
regnet_x_400mf,400,0.0001,9,15.276080445682302,17.00162493098866,0.0113314281810413,0.196548669195677
regnet_x_400mf,400,0.0001,1,80.73517747766832,58.13954942876642,0.0090190822427923,0.196548669195677
regnet_x_400mf,400,0.0001,2,37.98179135042079,23.623926162719727,0.0113373561338944,0.196548669195677
regnet_x_400mf,400,0.0001,3,21.624898573931524,21.338815775784575,0.0125953717665238,0.196548669195677
regnet_x_400mf,400,0.0001,4,19.75639246772317,19.489472475918856,0.0124219005758112,0.196548669195677
regnet_x_400mf,400,0.0001,10,14.88015495749081,16.68795282190496,0.0117778778076171,0.196548669195677
regnet_x_400mf,400,0.0001,6,17.866107278711656,18.91535919362849,0.0121169632131403,0.196548669195677
regnet_x_400mf,400,0.0001,7,16.953706718893613,18.30058227885853,0.0129397457296198,0.196548669195677
regnet_x_400mf,400,0.0001,8,16.33620123021743,17.140956575220283,0.0115181641145185,0.196548669195677
regnet_x_400mf,400,0.0001,5,18.570984694537,19.394873662428424,0.0115073810924183,0.196548669195677
